recordId,fullName,email,city,state,country,age,signupDate,purchaseAmount,status
REC-00001,Kabir Iyer,kabir.iyer1@example.com,Kolkata,West Bengal,India,38,2025-07-03,4723.60,Prospect
REC-00002,Arjun Patel,arjun.patel2@example.com,Chennai,Tamil Nadu,India,34,2025-04-09,3153.86,Active
REC-00003,Kabir Iyer,kabir.iyer3@example.com,Surat,Gujarat,India,41,2026-01-30,4161.81,Inactive
REC-00004,Meera Nair,meera.nair4@example.com,Hyderabad,Telangana,India,22,2025-12-19,1171.14,Prospect
REC-00005,Ishaan Joshi,ishaan.joshi5@example.com,Hyderabad,Telangana,India,42,2025-07-07,3857.53,Prospect
REC-00006,Ananya Desai,ananya.desai6@example.com,Pune,Maharashtra,India,21,2025-06-29,2306.25,Inactive
REC-00007,Diya Mehta,diya.mehta7@example.com,Delhi,Delhi,India,45,2025-03-22,2451.22,Prospect
REC-00008,Ishaan Mehta,ishaan.mehta8@example.com,Pune,Maharashtra,India,25,2025-05-04,711.72,Active
REC-00009,Ananya Nair,ananya.nair9@example.com,Jaipur,Rajasthan,India,29,2026-01-11,2335.74,Prospect
REC-00010,Diya Sharma,diya.sharma10@example.com,Pune,Maharashtra,India,34,2025-03-21,4505.23,Inactive
REC-00011,Riya Patel,riya.patel11@example.com,Bengaluru,Karnataka,India,52,2025-05-15,1309.76,Active
REC-00012,Ishaan Shah,ishaan.shah12@example.com,Mumbai,Maharashtra,India,52,2025-04-18,4698.74,Prospect
REC-00013,Riya Iyer,riya.iyer13@example.com,Bengaluru,Karnataka,India,33,2025-09-19,1199.72,Inactive
REC-00014,Saanvi Reddy,saanvi.reddy14@example.com,Chennai,Tamil Nadu,India,50,2026-01-25,359.43,Active
REC-00015,Ananya Iyer,ananya.iyer15@example.com,Surat,Gujarat,India,27,2025-11-30,4022.16,Active
REC-00016,Saanvi Verma,saanvi.verma16@example.com,Bengaluru,Karnataka,India,33,2025-09-13,3205.45,Prospect
REC-00017,Saanvi Kapoor,saanvi.kapoor17@example.com,Hyderabad,Telangana,India,33,2025-04-08,1748.68,Prospect
REC-00018,Arjun Gupta,arjun.gupta18@example.com,Ahmedabad,Gujarat,India,48,2025-06-10,666.75,Inactive
REC-00019,Vivaan Desai,vivaan.desai19@example.com,Ahmedabad,Gujarat,India,52,2025-10-17,2173.10,Active
REC-00020,Meera Patel,meera.patel20@example.com,Chennai,Tamil Nadu,India,30,2025-07-23,3292.53,Prospect
REC-00021,Riya Mehta,riya.mehta21@example.com,Bengaluru,Karnataka,India,51,2025-08-20,4984.13,Prospect
REC-00022,Arjun Verma,arjun.verma22@example.com,Hyderabad,Telangana,India,25,2025-04-03,500.24,Inactive
REC-00023,Vivaan Nair,vivaan.nair23@example.com,Jaipur,Rajasthan,India,51,2025-12-17,4855.62,Inactive
REC-00024,Saanvi Reddy,saanvi.reddy24@example.com,Jaipur,Rajasthan,India,52,2025-05-02,3477.21,Active
REC-00025,Saanvi Iyer,saanvi.iyer25@example.com,Kolkata,West Bengal,India,48,2025-11-13,1071.76,Active
REC-00026,Riya Sharma,riya.sharma26@example.com,Ahmedabad,Gujarat,India,49,2026-01-16,3896.02,Prospect
REC-00027,Ananya Kapoor,ananya.kapoor27@example.com,Hyderabad,Telangana,India,21,2026-01-01,1399.57,Inactive
REC-00028,Kabir Joshi,kabir.joshi28@example.com,Chennai,Tamil Nadu,India,54,2025-04-22,1642.22,Inactive
REC-00029,Aarav Shah,aarav.shah29@example.com,Chennai,Tamil Nadu,India,25,2025-06-17,546.17,Active
REC-00030,Kabir Verma,kabir.verma30@example.com,Chennai,Tamil Nadu,India,45,2025-04-03,1479.02,Inactive
REC-00031,Ishaan Kapoor,ishaan.kapoor31@example.com,Bengaluru,Karnataka,India,27,2026-01-11,573.12,Inactive
REC-00032,Aditya Gupta,aditya.gupta32@example.com,Delhi,Delhi,India,22,2025-12-30,3153.82,Active
REC-00033,Aditya Desai,aditya.desai33@example.com,Jaipur,Rajasthan,India,50,2025-03-23,4996.34,Prospect
REC-00034,Krish Kapoor,krish.kapoor34@example.com,Jaipur,Rajasthan,India,34,2025-03-02,3355.43,Active
REC-00035,Vivaan Patel,vivaan.patel35@example.com,Hyderabad,Telangana,India,36,2025-09-10,3358.42,Active
REC-00036,Vivaan Mehta,vivaan.mehta36@example.com,Hyderabad,Telangana,India,47,2026-02-01,4854.86,Active
REC-00037,Riya Iyer,riya.iyer37@example.com,Pune,Maharashtra,India,54,2025-07-17,4804.78,Inactive
REC-00038,Aarav Sharma,aarav.sharma38@example.com,Kolkata,West Bengal,India,47,2025-09-15,2084.23,Active
REC-00039,Ananya Iyer,ananya.iyer39@example.com,Kolkata,West Bengal,India,36,2025-05-10,4174.79,Prospect
REC-00040,Saanvi Joshi,saanvi.joshi40@example.com,Jaipur,Rajasthan,India,20,2025-08-11,1751.87,Active
REC-00041,Vivaan Gupta,vivaan.gupta41@example.com,Mumbai,Maharashtra,India,45,2026-02-11,990.30,Inactive
REC-00042,Ishaan Shah,ishaan.shah42@example.com,Surat,Gujarat,India,40,2025-04-22,2449.67,Inactive
REC-00043,Meera Reddy,meera.reddy43@example.com,Bengaluru,Karnataka,India,37,2025-10-19,3814.28,Inactive
REC-00044,Ishaan Mehta,ishaan.mehta44@example.com,Delhi,Delhi,India,44,2025-07-27,330.45,Prospect
REC-00045,Aarav Gupta,aarav.gupta45@example.com,Bengaluru,Karnataka,India,48,2025-09-09,4214.00,Prospect
REC-00046,Ishaan Nair,ishaan.nair46@example.com,Hyderabad,Telangana,India,41,2025-12-26,3307.58,Inactive
REC-00047,Kabir Shah,kabir.shah47@example.com,Chennai,Tamil Nadu,India,50,2025-05-16,4523.18,Prospect
REC-00048,Meera Patel,meera.patel48@example.com,Hyderabad,Telangana,India,23,2025-07-25,3738.20,Active
REC-00049,Ananya Gupta,ananya.gupta49@example.com,Kolkata,West Bengal,India,30,2025-12-11,295.03,Prospect
REC-00050,Diya Patel,diya.patel50@example.com,Ahmedabad,Gujarat,India,33,2025-10-29,237.94,Active
REC-00051,Kabir Verma,kabir.verma51@example.com,Mumbai,Maharashtra,India,35,2026-02-02,4659.05,Inactive
REC-00052,Diya Sharma,diya.sharma52@example.com,Bengaluru,Karnataka,India,34,2025-10-02,4051.86,Active
REC-00053,Ananya Shah,ananya.shah53@example.com,Surat,Gujarat,India,48,2025-08-07,4221.06,Active
REC-00054,Aarav Shah,aarav.shah54@example.com,Jaipur,Rajasthan,India,25,2025-07-23,2347.85,Inactive
